feature,importance
y_coordinate,0.2560395334779714
region,0.17442071607240273
island_size,0.11781675876266068
x_coordinate,0.11487698455789958
water_sources,0.08167105555645489
nearest_city,0.05677589043577952
shelters,0.03605828318327144
creation_month,0.03543676663151186
amenity_count,0.028544203081784382
loyalty_score,0.019108443309310157
avg_time_in_euphoria,0.018959835881231842
referral_friends,0.016340338157336532
total_refunds_requested,0.0156532538054443
creation_year,0.01088368280847039
dogs_allowed,0.00855959987189344
cats_allowed,0.008396888215159413
entry_fee,0.00045776619141733236
